Date,Price,Open,High,Low,Vol.,Change %
6-Aug-20,41.95,42.19,42.65,41.61,359.61K,-0.0057
5-Aug-20,42.19,41.56,43.52,41.47,491.27K,0.0118
4-Aug-20,41.7,40.78,42.08,40.14,451.58K,0.0168
3-Aug-20,41.01,40.39,41.24,39.58,338.33K,0.0184
31-Jul-20,40.27,40.34,40.55,39.66,318.79K,0.0088
30-Jul-20,39.92,41.32,41.39,38.72,487.33K,-0.0327
29-Jul-20,41.27,41.13,41.57,40.93,295.86K,0.0056
28-Jul-20,41.04,41.65,41.93,40.85,276.80K,-0.0135
27-Jul-20,41.6,41.26,41.82,40.48,377.71K,0.0075
24-Jul-20,41.29,41.06,41.67,40.66,353.16K,0.0054
23-Jul-20,41.07,41.95,42.36,40.83,389.41K,-0.0198
22-Jul-20,41.9,41.54,42.03,41.14,333.65K,-0.0014
21-Jul-20,41.96,40.65,42.4,40.64,25.62K,0.0282
20-Jul-20,40.81,40.64,40.91,39.83,60.18K,0.0054
17-Jul-20,40.59,40.72,40.9,40.02,88.22K,-0.0039
16-Jul-20,40.75,40.97,41.18,40.52,200.10K,-0.0109
15-Jul-20,41.2,40.55,41.26,40.08,352.54K,0.0226
14-Jul-20,40.29,39.6,40.57,39.07,426.97K,0.0047
13-Jul-20,40.1,40.35,40.72,39.47,370.72K,-0.0111
10-Jul-20,40.55,39.58,40.77,38.54,393.15K,0.0235
9-Jul-20,39.62,40.87,40.99,39.27,367.39K,-0.0313
8-Jul-20,40.9,40.48,41.08,40.3,286.74K,0.0069
7-Jul-20,40.62,40.68,40.95,39.9,256.60K,-0.0002
6-Jul-20,40.63,40.31,41.08,39.84,373.24K,0.0087
3-Jul-20,40.28,40.23,40.5,39.86,-,-0.0091
2-Jul-20,40.65,39.78,40.74,39.46,347.10K,0.0208
1-Jul-20,39.82,39.84,40.58,39.05,407.17K,0.014
30-Jun-20,39.27,39.64,40.08,38.85,370.06K,-0.0108
29-Jun-20,39.7,37.96,39.89,37.5,343.91K,0.0314
26-Jun-20,38.49,39.09,39.35,37.79,356.71K,-0.0059
25-Jun-20,38.72,38.05,39.23,37.08,451.64K,0.0187
24-Jun-20,38.01,39.99,40.54,37.31,499.49K,-0.0585
23-Jun-20,40.37,40.68,41.63,39.76,368.73K,-0.0022
22-Jun-20,40.46,39.18,40.7,39.12,29.89K,0.0179
19-Jun-20,39.75,38.85,40.49,38.4,64.11K,0.0234
18-Jun-20,38.84,37.74,38.97,37.11,113.38K,0.0232
17-Jun-20,37.96,37.93,38.75,37.21,239.52K,-0.0109
16-Jun-20,38.38,37.05,39.06,36.38,366.32K,0.0339
15-Jun-20,37.12,36.03,37.26,34.36,387.55K,0.0237
12-Jun-20,36.26,36.26,36.99,34.48,406.51K,-0.0022
11-Jun-20,36.34,39.09,39.09,35.41,513.91K,-0.0823
